site_id,site_name,latitude,longitude,country,data_availability
BE-Jal,La Robinette (Jalhay),50.56388889,6.073333333,Belgium,accessible data
BE-Lcr,Lochristi,51.11218,3.85043,Belgium,accessible data
BE-Lon,Lonzee,50.55162,4.746234,Belgium,accessible data
BE-Maa,Maasmechelen,50.97987,5.631851,Belgium,accessible data
BE-Vie,Vielsalm,50.304962,5.998099,Belgium,accessible data
BE-Wm1,Westmalle1,51.2964325,4.657248497,Belgium,no public data
BE-Wm2,Westmalle2,51.29747009,4.662438393,Belgium,no public data
BF-Bon,Bontioli,10.865556,-3.072778,Burkina Faso,accessible data
BF-Btd,Boudtenga,12.46,-1.25,Burkina Faso,no public data
BF-Nzg,Nazinga,11.1516,-1.5857,Burkina Faso,no public data
BFS,Barkot Flux Research Site,30.110682,78.20343,India,no public data
BFT,Betul Flux Research Site,21.863011,77.426019,India,no public data
BG-Crp,Chirpan,42.2149,25.2817,Bulgaria,no public data
BG-Rzn,Rozhen,41.6947,24.7387,Bulgaria,no public data
BJ-Bfg,Bellefoungou,9.791,1.718,Benin,accessible data
BJ-Bir,Bira,9.82777,1.71573,Benin,no public data
BJ-Db1,Dangbo,6.607338,2.543043,Benin,accessible data
BJ-Db2,Dangbo 2,6.6014,2.5465,Benin,no public data
BJ-Nan,Nangatchori,9.646983333,1.740883333,Benin,no public data
BJ-Nhu,Nalohou,9.74,1.6,Benin,accessible data
BKS,Bukit Soeharto,-0.861389,117.044722,Indonesia,no public data
BNS,Xishuangbanna Site,21.9275,101.265278,China,no public data
BR-BNT,BIONTE,-2.6334,-60.1505,Brazil,no public data
BR-Ban,BR-Ban,-9.82442,-50.1591,Brazil,no public data
BR-CAX,"CAX, FLONA Caxiuanã micromet tower",-1.7185,-51.4583,Brazil,no public data
BR-CMT,Capuaba farm Mato Grosso,-13.2875,-56.0882,Brazil,no public data
BR-CST,Caatinga Serra Talhada,-7.9682,-38.3842,Brazil,accessible data
BR-CUI,Micrometeorological studies project in Amazonian mangroves,-0.6661,-47.2833,Brazil,no public data
BR-CUP,Cupari Tapajos National Forest,-3.7874,-55.3664,Brazil,no public data
BR-IAB,Instituto Arruda Botelho - Wooded Cerrado and Mixed Agriculture,-22.171,-47.871,Brazil,no public data
BR-ITA,MataFLUX: Multi-species tree restoration planting,-23.0604,-48.6467,Brazil,accessible data
BR-JI1,Fazenda Nossa Senhora (FNS),-10.7618,-62.3572,Brazil,no public data
BR-Ji2,BR-Ji2,-10.0832,-61.9309,Brazil,no public data
BR-Ji3,Ji-Paraná/RO - Reserva Biológica do Jaru (RBJ),-10.1866,-61.8725,Brazil,accessible data
BR-MOJ,"Moju/PA, Commercial oil palm plantation",-1.9787,-48.6147,Brazil,no public data
